iter	MultiClass
0	0.6460489692
1	0.6107456047
2	0.5831472958
3	0.5596925701
4	0.5429320505
5	0.5299068941
6	0.5175726538
7	0.5067664341
8	0.4953531622
9	0.4884106136
10	0.482057754
11	0.4772150979
12	0.4735180972
13	0.4673028456
14	0.4630596794
15	0.4582183587
16	0.4552669905
17	0.4506342536
18	0.4464811762
19	0.4433871817
20	0.441707512
21	0.439497841
22	0.4383916256
23	0.4365690469
24	0.4348641116
25	0.4328958487
26	0.4309178136
27	0.4299002407
28	0.4281283193
29	0.4273727157
30	0.4263116972
31	0.4249143531
32	0.4226320123
33	0.4207080399
34	0.419950506
35	0.4189634158
36	0.4180517672
37	0.4171011939
38	0.416435744
39	0.4158312742
40	0.4154090595
41	0.4148516845
42	0.4144368233
43	0.4132161925
44	0.410157802
45	0.4090334362
46	0.408704267
47	0.408404561
48	0.4077438771
49	0.4067766488
50	0.4061314602
51	0.4052024041
52	0.4046394571
53	0.4042367891
54	0.403851281
55	0.4034274128
56	0.4009905195
57	0.4005601697
58	0.3992377288
59	0.3986335765
60	0.3978925956
61	0.3974987709
62	0.3966937449
63	0.3963007908
64	0.3960329183
65	0.3956414389
66	0.3948991231
67	0.3945432514
68	0.394090216
69	0.3934233922
70	0.3931547916
71	0.3924193553
72	0.3922033251
73	0.3919625028
74	0.3896702983
75	0.3892400951
76	0.3890112914
77	0.3885300803
78	0.387104597
79	0.3863469108
80	0.3860408676
81	0.3858658053
82	0.385240925
83	0.3844991732
84	0.3840981207
85	0.3838043547
86	0.3830049996
87	0.3826502369
88	0.3825265574
89	0.3823684657
90	0.3821342463
91	0.3814619583
92	0.3811836117
93	0.381011985
94	0.380797652
95	0.3798542055
96	0.3795447504
97	0.3792924357
98	0.3790763906
99	0.3789249991
