iter	Passed	Remaining
0	148	14683
1	167	8200
2	176	5721
3	184	4436
4	200	3812
5	212	3324
6	222	2951
7	231	2667
8	241	2441
9	251	2259
10	261	2117
11	270	1986
12	280	1879
13	290	1784
14	300	1700
15	310	1627
16	319	1559
17	329	1500
18	339	1445
19	349	1398
20	359	1352
21	370	1313
22	383	1282
23	392	1242
24	404	1212
25	415	1181
26	424	1148
27	434	1117
28	444	1087
29	453	1058
30	463	1031
31	473	1005
32	482	979
33	492	955
34	501	931
35	510	908
36	520	885
37	529	864
38	539	843
39	548	823
40	557	802
41	567	783
42	577	764
43	587	747
44	597	730
45	607	712
46	616	695
47	625	677
48	635	661
49	645	645
50	655	629
51	665	614
52	674	598
53	684	582
54	693	567
55	703	552
56	712	537
57	721	522
58	731	508
59	740	493
60	750	479
61	759	465
62	769	451
63	778	438
64	788	424
65	798	411
66	808	398
67	817	384
68	827	371
69	838	359
70	849	346
71	859	334
72	868	321
73	878	308
74	888	296
75	897	283
76	906	270
77	916	258
78	925	246
79	935	233
80	944	221
81	953	209
82	963	197
83	972	185
84	982	173
85	991	161
86	1001	149
87	1011	137
88	1021	126
89	1030	114
90	1040	102
91	1049	91
92	1058	79
93	1068	68
94	1083	57
95	1098	45
96	1112	34
97	1123	22
98	1133	11
99	1143	0
